word,word_count,x_coord,y_coord,rank
tama,2452.0,5.4269166,0.09033824,334
panuitia,2379.0,1.4653668,3.6153383,335
whakaritea,2243.0,0.379631,3.788601,336
witi,2932.0,1.50894,-5.549081,337
kanohi,2317.0,2.8413098,-2.3825653,338
rori,2602.0,0.61560047,-2.792806,339
mona,2687.0,0.6842289,-0.28775036,340
tiriti,3825.0,2.150262,4.2384667,341
tuhia,2247.0,-0.048789088,2.922962,342
tari,2386.0,-1.0399317,-2.8127,343
maku,2412.0,1.6527953,3.2889218,344
karere,2252.0,3.6826725,4.0499167,345
ono,3242.0,-0.5377979,-5.839493,346
rima,3962.0,-0.51987875,-5.996248,347
poti,2327.0,4.3877544,-3.4658148,348
inga,2086.0,2.8564153,1.9146192,349
tangohia,2146.0,0.28123313,0.6349262,350
poaka,2946.0,2.5973024,-6.144149,351
tanga,2295.0,2.4656034,1.5989193,352
haerenga,2101.0,2.4784837,-0.32764444,353
taane,2788.0,4.295815,0.42906585,354
ika,2360.0,4.1338644,-3.7705717,355
tuarua,2961.0,2.7413878,2.8816652,356
neke,2331.0,-1.1355677,-5.931998,357
wairarapa,3569.0,5.8267045,3.0163147,358
koroni,2337.0,2.2405322,4.0151277,359
tonoa,2040.0,0.09889531,3.1041284,360
whanau,2192.0,4.5589685,0.8038989,361
muri_iho,1.0,2.0014038,-0.6524267,362
tupapaku,2382.0,4.8304105,-1.1459062,363
naianei,2481.0,1.1973625,1.8749708,364
koi,2315.0,-2.6437774,-1.2786701,365
poari,2416.0,-1.0337961,5.7640777,366
hari,2033.0,2.2692568,0.99322575,367
tipuna,2359.0,5.3273683,1.205804,368
paora,3216.0,9.395898,-1.0200678,369
pakaru,2138.0,2.6123853,-2.5575483,370
hapai,1937.0,2.6677082,2.0895107,371
wananga,3888.0,4.2573423,3.5308533,372
whiti,2148.0,4.994642,-1.4769936,373
maunga,2209.0,4.729697,-2.306746,374
karangatia,2019.0,1.9569162,1.1319097,375
tekau,6973.0,-0.8857417,-6.350199,376
tupuna,2114.0,4.02866,0.9201287,377
tohe,1983.0,-0.42990127,1.8627311,378
whakatu,2077.0,1.0276831,4.337082,379
rongoa,2239.0,1.1608102,-3.715689,380
kati,2571.0,1.8075022,1.7459247,381
kotahitanga,2081.0,2.6148975,4.6856174,382
huri,2154.0,5.1200814,-1.6944388,383
mei,3476.0,4.548944,2.2711015,384
ope,2033.0,4.390694,-1.2260946,385
makarini,2923.0,-0.756667,2.4043486,386
pena,1997.0,-0.05177632,0.7418783,387
nohoanga,1866.0,1.6630722,1.7250803,388
tapu,2366.0,3.1622665,0.31776077,389
peke,3044.0,4.2758512,-6.05784,390
riihi,2048.0,-1.8502961,5.2249465,391
ito,2034.0,-2.727395,-0.74092036,392
nuinga,1749.0,0.8677784,0.80115634,393
huihui,1890.0,2.8764908,2.9498231,394
kiingi,2203.0,4.2294154,2.2243855,395
herehere,2015.0,2.1931603,-1.296122,396
mahinga,1826.0,0.14809743,2.3665137,397
parau,2054.0,1.1594903,-4.9807234,398
whakaturia,1788.0,0.63051635,4.8186355,399
waewae,1973.0,3.827316,-4.128608,400
paraoa,2733.0,2.165955,-6.1746416,401
ruhia,2072.0,3.6154656,-0.7578705,402
waea,2191.0,3.9729729,0.97875655,403
takuta,1954.0,2.144227,-2.5162969,404
tokomaha,2153.0,0.7005256,0.61769915,405
hahi,1948.0,2.87476,1.1463017,406
pupuri,1733.0,1.2879149,2.420282,407
wairua,2193.0,2.232517,0.07606262,408
apiha,1773.0,3.892298,0.9784115,409
hea,1863.0,-1.2061735,2.2742937,410
tere,1806.0,1.3971794,-3.8937852,411
tiki,2032.0,2.3559134,-4.532922,412
whakahoki,1755.0,0.80340767,2.70708,413
pirimia,1875.0,4.5265427,4.018282,414
tiamana,2427.0,2.6433098,5.284795,415
kimi,1716.0,0.5758373,2.3619204,416
anga,1854.0,2.1119573,0.34811476,417
