word,word_count,x_coord,y_coord,rank
neke,2215,-6.204236,-1.7344303,370
rima,2214,-6.1663547,-2.5863185,371
tanga,2211,-0.8151645,1.6218464,372
taane,2205,0.08068948,-1.1637071,373
whakaritea,2196,-2.4812071,3.707613,374
matuhi,2168,0.8969143,2.373515,375
tokomaha,2153,-3.7002645,-0.52651536,376
tihema,2152,2.1663322,1.1861618,377
tangohia,2146,-4.349714,0.1325852,378
paraoa,2146,1.7758409,-6.1293674,379
hepetema,2144,2.4516294,1.3432623,380
pakaru,2138,-1.9964337,-3.5458994,381
tapu,2135,-1.9056312,-1.4455819,382
tupuna,2114,0.21602419,-1.4817668,383
haerenga,2101,-2.169336,-2.0637002,384
poari,2100,-1.0452963,5.886139,385
whanau,2092,0.17224197,-1.0146728,386
inga,2086,-0.7901865,1.9135222,387
kotahitanga,2081,-0.3250976,3.9057434,388
whakatu,2077,-0.56573784,3.8468387,389
ruhia,2072,-5.0664124,-4.0582004,390
whiti,2058,-1.524719,-2.4572868,391
waiata,2056,-0.69647217,-0.8969145,392
parau,2054,0.65161383,-4.6216464,393
huri,2048,-2.097752,-4.6647444,394
waea,2047,0.06916162,-0.99486744,395
maunga,2045,-2.367334,-5.5706825,396
aperira,2040,2.360507,1.4238925,397
tonoa,2040,-1.0772156,3.2844276,398
tekau,2037,-6.468448,-2.3294885,399
tipuna,2035,0.39986086,-0.78207254,400
hari,2033,-2.051144,-1.0324824,401
karangatia,2019,-0.06558676,0.90606165,402
herehere,2015,-4.3692365,-2.3154423,403
ito,2000,-5.0239496,4.0930257,404
hune,1998,2.2132719,1.3138021,405
pena,1997,-4.007097,0.7153058,406
tohe,1983,-3.7961543,0.32877943,407
peke,1969,2.046215,-6.439421,408
kohuru,1964,-4.91436,-1.8577808,409
riihi,1961,-1.6976722,5.601649,410
kiingi,1959,-0.38996738,-0.14508842,411
hapai,1937,-1.7961646,0.66285187,412
waewae,1931,-0.6208761,-4.8748746,413
wairua,1924,-2.859583,-1.6024822,414
hone,1904,5.198967,0.4554639,415
huihui,1890,-0.50897866,0.3683015,416
wairoa,1883,4.587349,-0.12250136,417
pirimia,1875,2.1192243,3.8488898,418
ope,1873,-2.978174,-3.043722,419
takuta,1872,-1.579703,-2.2973218,420
upoko,1867,-0.28329095,-2.0036888,421
nohoanga,1866,-1.8755499,1.6261848,422
tiki,1863,0.6149668,-4.4381547,423
hea,1863,-2.0590687,1.8890923,424
hurae,1862,2.504347,1.1831312,425
tokorua,1861,-1.9138118,-1.963105,426
hanuere,1858,2.3074143,1.6866667,427
anga,1854,-0.14120707,0.9928718,428
notemea,1851,-3.7012432,0.25540462,429
tawhiao,1849,3.4875538,1.2094164,430
hahi,1848,-1.3194703,-0.5338976,431
mahinga,1826,-2.4275796,2.299071,432
atawhai,1800,-2.9840705,-0.06808811,433
koura,1796,-0.47578374,-5.211205,434
pepuere,1789,2.3598793,1.1331407,435
whakaturia,1788,-0.67681915,3.7690158,436
riwai,1787,2.8149402,-6.035651,437
ngapuhi,1784,4.3668513,0.04488793,438
tirohia,1781,-3.1569493,1.0962373,439
pakanga,1780,-2.9962585,-2.0810816,440
apiha,1773,-4.733121,-3.2335753,441
ihe,1770,-5.6442294,3.83603,442
putu,1763,-1.4923158,-5.9117627,443
tere,1758,-0.7630366,-3.5271502,444
whakahoki,1755,-0.1782144,2.212887,445
nuinga,1749,-3.1741474,-0.055012908,446
